bookmarked_at,BookmarkedAt,post_url,PostUrl,post_title,PostTitle
"February 21, 2020 at 11:37PM","February 21, 2020 at 11:37PM",https://uxdesign.cc/7-alternative-user-research-methods-we-dont-always-think-about-ffdc42934ecc?source=ifttt--------------2,https://uxdesign.cc/7-alternative-user-research-methods-we-dont-always-think-about-ffdc42934ecc?source=ifttt--------------2,7 alternative user research methods we don't always think about,7 alternative user research methods we don't always think about
"February 21, 2020 at 11:52PM","February 21, 2020 at 11:52PM",https://uxdesign.cc/9-best-practices-when-designing-a-dashboard-ae79fe182b68?source=ifttt--------------2,https://uxdesign.cc/9-best-practices-when-designing-a-dashboard-ae79fe182b68?source=ifttt--------------2,9 best practices when designing a dashboard,9 best practices when designing a dashboard
"February 22, 2020 at 12:08AM","February 22, 2020 at 12:08AM",https://medium.com/swlh/the-5-pillars-of-user-insights-2470ef26ccd6?source=ifttt--------------2,https://medium.com/swlh/the-5-pillars-of-user-insights-2470ef26ccd6?source=ifttt--------------2,The 5 Pillars of User Insights,The 5 Pillars of User Insights
"February 22, 2020 at 12:16AM","February 22, 2020 at 12:16AM",https://uxdesign.cc/learning-cards-bf7fb204d2f6?source=ifttt--------------2,https://uxdesign.cc/learning-cards-bf7fb204d2f6?source=ifttt--------------2,Learning Cards: organising research findings in an easily digestible format,Learning Cards: organising research findings in an easily digestible format
"February 22, 2020 at 09:30AM","February 22, 2020 at 09:30AM",https://medium.com/kayak-tech/7-hacks-for-lean-user-research-45fba0f3510f?source=ifttt--------------2,https://medium.com/kayak-tech/7-hacks-for-lean-user-research-45fba0f3510f?source=ifttt--------------2,7 Hacks for Lean User Research,7 Hacks for Lean User Research
"February 22, 2020 at 10:26PM","February 22, 2020 at 10:26PM",https://medium.com/@CDifferent/use-these-3-techniques-to-convince-your-team-to-conduct-ux-research-188f4e27ab06?source=ifttt--------------2,https://medium.com/@CDifferent/use-these-3-techniques-to-convince-your-team-to-conduct-ux-research-188f4e27ab06?source=ifttt--------------2,Use These 3 Techniques to Convince Your Team to Conduct UX Research,Use These 3 Techniques to Convince Your Team to Conduct UX Research
"February 22, 2020 at 10:42PM","February 22, 2020 at 10:42PM",https://towardsdatascience.com/dictionary-as-an-alternative-to-if-else-76fe57a1e4af?source=ifttt--------------2,https://towardsdatascience.com/dictionary-as-an-alternative-to-if-else-76fe57a1e4af?source=ifttt--------------2,Dictionary as an Alternative to If-Else,Dictionary as an Alternative to If-Else
"February 22, 2020 at 10:43PM","February 22, 2020 at 10:43PM",https://uxdesign.cc/5-design-principles-for-better-products-4ad336955e2d?source=ifttt--------------2,https://uxdesign.cc/5-design-principles-for-better-products-4ad336955e2d?source=ifttt--------------2,5 design principles for better products,5 design principles for better products
"February 22, 2020 at 10:47PM","February 22, 2020 at 10:47PM",https://medium.com/@maxwellforrest/how-to-get-stakeholders-excited-about-user-research-f46df33036fd?source=ifttt--------------2,https://medium.com/@maxwellforrest/how-to-get-stakeholders-excited-about-user-research-f46df33036fd?source=ifttt--------------2,How To Get Stakeholders Excited About User Research,How To Get Stakeholders Excited About User Research
"February 22, 2020 at 10:48PM","February 22, 2020 at 10:48PM",https://uxdesign.cc/a-practical-guide-on-conducting-user-research-with-no-access-to-users-and-no-product-e7face850ce2?source=ifttt--------------2,https://uxdesign.cc/a-practical-guide-on-conducting-user-research-with-no-access-to-users-and-no-product-e7face850ce2?source=ifttt--------------2,"A practical, 10-step guide on conducting user research with no access to users, no product and...","A practical, 10-step guide on conducting user research with no access to users, no product and..."
"February 23, 2020 at 09:32AM","February 23, 2020 at 09:32AM",https://towardsdatascience.com/integrate-jupyterlab-with-google-drive-98d13e340c63?source=ifttt--------------2,https://towardsdatascience.com/integrate-jupyterlab-with-google-drive-98d13e340c63?source=ifttt--------------2,Integrate JupyterLab with Google Drive,Integrate JupyterLab with Google Drive
"February 24, 2020 at 11:36PM","February 24, 2020 at 11:36PM",https://medium.com/gooddata-developers/ux-anatomy-of-dashboards-73dbf6515199?source=ifttt--------------2,https://medium.com/gooddata-developers/ux-anatomy-of-dashboards-73dbf6515199?source=ifttt--------------2,UX Anatomy of Dashboards,UX Anatomy of Dashboards
"February 25, 2020 at 08:54AM","February 25, 2020 at 08:54AM",https://medium.com/mind-cafe/7-habits-you-can-adopt-after-5-pm-to-help-you-decompress-after-a-busy-day-788666984c43?source=ifttt--------------2,https://medium.com/mind-cafe/7-habits-you-can-adopt-after-5-pm-to-help-you-decompress-after-a-busy-day-788666984c43?source=ifttt--------------2,7 Evening Habits That Can Help You Decompress After a Busy Day,7 Evening Habits That Can Help You Decompress After a Busy Day
"February 25, 2020 at 10:07PM","February 25, 2020 at 10:07PM",https://uxdesign.cc/3-design-patterns-to-improve-your-freemium-product-b377d04e7aac?source=ifttt--------------2,https://uxdesign.cc/3-design-patterns-to-improve-your-freemium-product-b377d04e7aac?source=ifttt--------------2,3 Design patterns to improve your freemium product,3 Design patterns to improve your freemium product
"February 26, 2020 at 06:35PM","February 26, 2020 at 06:35PM",https://uxdesign.cc/what-is-a-research-framework-and-why-do-we-need-one-b3fac8351d46?source=ifttt--------------2,https://uxdesign.cc/what-is-a-research-framework-and-why-do-we-need-one-b3fac8351d46?source=ifttt--------------2,What is a research framework and why do we need one?,What is a research framework and why do we need one?
"February 27, 2020 at 11:16PM","February 27, 2020 at 11:16PM",https://uxdesign.cc/how-is-design-thinking-used-in-2020-c6d9e6ff8b33?source=ifttt--------------2,https://uxdesign.cc/how-is-design-thinking-used-in-2020-c6d9e6ff8b33?source=ifttt--------------2,How is Design Thinking used in 2020?,How is Design Thinking used in 2020?
"February 27, 2020 at 11:17PM","February 27, 2020 at 11:17PM",https://uxdesign.cc/creating-a-customer-journey-map-f34a429d3bd5?source=ifttt--------------2,https://uxdesign.cc/creating-a-customer-journey-map-f34a429d3bd5?source=ifttt--------------2,Creating a customer journey map,Creating a customer journey map
"February 27, 2020 at 11:26PM","February 27, 2020 at 11:26PM",https://uxdesign.cc/how-to-create-simple-and-clear-user-experiences-with-hicks-law-b1ccc8627536?source=ifttt--------------2,https://uxdesign.cc/how-to-create-simple-and-clear-user-experiences-with-hicks-law-b1ccc8627536?source=ifttt--------------2,How to create simple and clear user experiences with Hick's Law,How to create simple and clear user experiences with Hick's Law
"February 27, 2020 at 11:52PM","February 27, 2020 at 11:52PM",https://uxdesign.cc/5-ways-to-reframe-a-solution-to-a-problem-statement-cf22f796b281?source=ifttt--------------2,https://uxdesign.cc/5-ways-to-reframe-a-solution-to-a-problem-statement-cf22f796b281?source=ifttt--------------2,5 ways to reframe a solution to a problem statement,5 ways to reframe a solution to a problem statement
"February 28, 2020 at 06:37AM","February 28, 2020 at 06:37AM",https://uxdesign.cc/perfecting-the-art-of-the-ux-research-report-d48e77da14a8?source=ifttt--------------2,https://uxdesign.cc/perfecting-the-art-of-the-ux-research-report-d48e77da14a8?source=ifttt--------------2,Perfecting the art of the UX Research report,Perfecting the art of the UX Research report
"February 28, 2020 at 09:55PM","February 28, 2020 at 09:55PM",https://uxdesign.cc/user-research-plan-template-d7e263ebee79?source=ifttt--------------2,https://uxdesign.cc/user-research-plan-template-d7e263ebee79?source=ifttt--------------2,User research plan template,User research plan template
"February 28, 2020 at 09:56PM","February 28, 2020 at 09:56PM",https://blog.prototypr.io/3-tricks-from-ux-research-that-can-help-you-have-better-conversations-fe4c5a66379d?source=ifttt--------------2,https://blog.prototypr.io/3-tricks-from-ux-research-that-can-help-you-have-better-conversations-fe4c5a66379d?source=ifttt--------------2,3 tricks from UX research that can help you have better conversations,3 tricks from UX research that can help you have better conversations
"February 28, 2020 at 10:25PM","February 28, 2020 at 10:25PM",https://towardsdatascience.com/hypothesis-testing-explained-as-simply-as-possible-6e0a256293cf?source=ifttt--------------2,https://towardsdatascience.com/hypothesis-testing-explained-as-simply-as-possible-6e0a256293cf?source=ifttt--------------2,Hypothesis Testing Explained as Simply as Possible,Hypothesis Testing Explained as Simply as Possible
"February 28, 2020 at 10:38PM","February 28, 2020 at 10:38PM",https://uxdesign.cc/the-nps-sucks-11d33b748774?source=ifttt--------------2,https://uxdesign.cc/the-nps-sucks-11d33b748774?source=ifttt--------------2,Is it time we move beyond the NPS to measure user experience?,Is it time we move beyond the NPS to measure user experience?
"February 28, 2020 at 10:39PM","February 28, 2020 at 10:39PM",https://uxdesign.cc/balancing-customer-business-needs-as-a-product-designer-3f70e690af78?source=ifttt--------------2,https://uxdesign.cc/balancing-customer-business-needs-as-a-product-designer-3f70e690af78?source=ifttt--------------2,Balancing customer & business needs as a product designer,Balancing customer & business needs as a product designer
"February 29, 2020 at 12:32PM","February 29, 2020 at 12:32PM",https://blog.prototypr.io/how-design-thinking-leads-to-increased-user-engagement-996e06b3e97a?source=ifttt--------------2,https://blog.prototypr.io/how-design-thinking-leads-to-increased-user-engagement-996e06b3e97a?source=ifttt--------------2,How Design Thinking Leads to Increased User Engagement,How Design Thinking Leads to Increased User Engagement
"March 1, 2020 at 04:34PM","March 1, 2020 at 04:34PM",https://uxdesign.cc/rethinking-the-full-screen-menu-59c9c514e43b?source=ifttt--------------2,https://uxdesign.cc/rethinking-the-full-screen-menu-59c9c514e43b?source=ifttt--------------2,Rethinking the full-screen menu,Rethinking the full-screen menu
